HDMI1                        PN"HDMI1" VERSION IS "M01G";
X3                           PN"25MHZ" VERSION IS "M01G";
X5                           PN"24.576M" VERSION IS "M01G";
D27                          PN"BAS16" VERSION IS "M01G";
D16                          PN"BAS16" VERSION IS "M01G";
D12                          PN"BAS16" VERSION IS "M01G";
D10                          PN"BAS16" VERSION IS "M01G";
D15                          PN"BAS16" VERSION IS "M01G";
D17                          PN"BAS16" VERSION IS "M01G";
D32                          PN"BAT54C" VERSION IS "M01G";
D18                          PN"BAT54C" VERSION IS "M01G";
D8                           PN"BAV99" VERSION IS "M01G";
D25                          PN"BAV99" VERSION IS "M01G";
D4                           PN"BAV99" VERSION IS "M01G";
D7                           PN"BAV99" VERSION IS "M01G";
D6                           PN"BAV99" VERSION IS "M01G";
D5                           PN"BAV99" VERSION IS "M01G";
U18                          PN"CH715"  VERSION IS "M01G";
Q41                          PN"TRAN_R_12" VERSION IS "M01G";
Q1                           PN"TRAN_R_12" VERSION IS "M01G";
Q2                           PN"TRAN_R_12" VERSION IS "M01G";
Q36                          PN"TRAN_R_12" VERSION IS "M01G";
Q29                          PN"TRAN_R_12" VERSION IS "M01G";
Q28                          PN"TRAN_R_12" VERSION IS "M01G";
Q27                          PN"TRAN_R_12" VERSION IS "M01G";
Q31                          PN"TRAN_R_12" VERSION IS "M01G";
Q30                          PN"TRAN_R_12" VERSION IS "M01G";
Q23                          PN"TRAN_R_12" VERSION IS "M01G";
Q11                          PN"2N7002" VERSION IS "M01G";
U75                          NT PN"FDC655BN" VERSION IS "M01G";
Q37                          PN"3904" VERSION IS "M01G";
Q33                          PN"3904" VERSION IS "M01G";
Q25                          PN"3904" VERSION IS "M01G";
Q19                          PN"3904" VERSION IS "M01G";
Q14                          PN"3904" VERSION IS "M01G";
Q43                          PN"3906" VERSION IS "M01G";
U76                          NT PN"FDS8884" VERSION IS "M01G";
U67                          NT PN"FDS8884" VERSION IS "M01G";
U66                          NT PN"FDS8884" VERSION IS "M01G";
U64                          NT PN"FDS8884" VERSION IS "M01G";
U15                          NT PN"FDS8884" VERSION IS "M01G";
U23                          NT PN"FDS8884" VERSION IS "M01G";
U13                          NT PN"SI4812BDY" VERSION IS "M01G";
U5                           NT PN"SI4634DY" VERSION IS "M01G";
U49                          NT PN"SI4634DY" VERSION IS "M01G";
U41                          NT PN"SI4634DY" VERSION IS "M01G";
U2                           NT PN"SI4634DY" VERSION IS "M01G";
U56                          NT PN"FDMS8692" VERSION IS "M01G";
U35                          NT PN"FDMS8692" VERSION IS "M01G";
U4                           NT PN"FDMS8692" VERSION IS "M01G";
U39                          NT PN"FDMS8692" VERSION IS "M01G";
U63                          NT PN"SI4634DY" VERSION IS "M01G";
U44                          PN"SI4800" VERSION IS "M01G";
U42                          PN"SI4800" VERSION IS "M01G";
U74                          PN"2N7002DW" VERSION IS "M01G";
U16                          PN"2N7002DW" VERSION IS "M01G";
Q50                          PN"2N7002DW" VERSION IS "M01G";
Q49                          PN"2N7002DW" VERSION IS "M01G";
U12                          PN"2N7002DW" VERSION IS "M01G";
U32                          PN"2N7002DW" VERSION IS "M01G";
U33                          PN"2N7002DW" VERSION IS "M01G";
